Time	 Open	 High	 Low	 Close	 Value	 DValue	 D2Value		proj Value	proj Error		delta							
3/27/2018 0:05	24292	24296	24286	24286	24286	0	0		24286	-6								stddev Err	15.07960472
3/27/2018 0:10	24287	24292	24282	24292	24292	1.2	0.24		24298	1									15.1075041
3/27/2018 0:15	24293	24303	24288	24297	24297	1	-0.04		24302	0.9375		-1.354166667	24303.35417	2.291666667				0.031063236	
3/27/2018 0:20	24298	24303	24294	24302	24301.0625	0.8125	-0.0375		24305.125	0.3125		0.75	24304.375	-0.4375				stddev Close	215.1984976
3/27/2018 0:25	24304	24307	24299	24304	24304.8125	0.75	-0.0125		24308.5625	1.078125		0.776041667	24307.78646	0.302083333					
3/27/2018 0:30	24304	24314	24299	24314	24307.48438	0.534375	-0.043125		24310.15625	-2.125		-0.244791667	24310.40104	-1.880208333				stdDelta	14.39194309
3/27/2018 0:35	24314	24324	24313	24318	24312.28125	0.959375	0.085		24317.07813	-1.70703125		-0.91796875	24317.99609	-0.7890625					
3/27/2018 0:40	24317	24320	24309	24312	24318.78516	1.30078125	0.06828125		24325.28906	6.44921875		0.872395833	24324.41667	5.576822917					
3/27/2018 0:45	24315	24328	24314	24323	24318.83984	0.0109375	-0.25796875		24318.89453	-1.186523438		1.185221354	24317.70931	-2.371744792					
3/27/2018 0:50	24324	24326	24317	24318	24320.08105	0.248242188	0.047460938		24321.32227	-1.048828125		-0.229003906	24321.55127	-0.819824219					
3/27/2018 0:55	24317	24319	24307	24311	24322.37109	0.458007813	0.041953125		24324.66113	7.435302734		1.114526367	24323.54661	6.320776367					
3/27/2018 1:00	24310	24317	24303	24317	24317.22583	-1.029052734	-0.297412109		24312.08057	-2.739990234		0.740527344	24311.34004	-3.480517578					
3/27/2018 1:05	24318	24325	24304	24313	24314.82056	-0.481054688	0.109599609		24312.41528	-2.473815918		0.399395752	24312.01589	-2.87321167					
3/27/2018 1:10	24313	24320	24306	24316	24314.8891	0.013708496	0.098952637		24314.95764	0.461181641		0.414263916	24314.54338	0.046917725					
3/27/2018 1:15	24316	24320	24308	24314	24314.49646	-0.078527832	-0.018447266		24314.10382	-0.73286438		0.233164978	24313.87066	-0.966029358					
3/27/2018 1:20	24313	24321	24313	24313	24314.83669	0.068045044	0.029314575		24315.17691	1.52684021		0.598348999	24314.57856	0.928491211					
3/27/2018 1:25	24313	24322	24308	24317	24313.65007	-0.237322998	-0.061073608		24312.46346	-2.164943695		0.552557755	24311.9109	-2.71750145					
3/27/2018 1:30	24318	24324	24318	24323	24314.6284	0.195665741	0.086597748		24315.60673	-3.734153748		-0.465779495	24316.07251	-3.268374252					
3/27/2018 1:35	24323	24330	24321	24330	24319.34088	0.94249649	0.14936615		24324.05336	-2.317917824		-0.578918934	24324.63228	-1.73899889					
3/27/2018 1:40	24330	24375	24330	24373	24326.37128	1.406080055	0.092716713		24333.40168	-16.63437939		-2.13747406	24335.53916	-14.49690533					
3/27/2018 1:45	24372	24383	24366	24372	24350.03606	4.732955933	0.665375175		24373.70084	-0.992399931		-2.980244327	24376.68109	1.987844396					
